show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,ROI
573435,Movie,Bad Boys: Ride or Die,"Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Nuñez",United States of America,2024-06-05,2024,7.384,"Action, Comedy, Crime, Thriller, Adventure",en,319.366,2783,7.384,100000000,404547819,4.05
1100782,Movie,Smile 2,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage, Miles Gutierrez-Riley, Peter Jacobson",United States of America,2024-10-16,2024,6.586,"Horror, Mystery",en,314.013,1331,6.586,28000000,138083280,4.93
698687,Movie,Transformers One,Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson, Keegan-Michael Key, Jon Hamm",United States of America,2024-09-11,2024,8.095,"Animation, Science Fiction, Adventure, Family",en,299.232,1119,8.095,75000000,128888103,1.72
1029235,Movie,Azrael,E.L. Katz,"Samara Weaving, Vic Carmen Sonne, Katariina Unt, Peter Christoffersen, Nathan Stewart-Jarrett","Estonia, United States of America",2024-09-27,2024,6.0,"Action, Horror, Thriller",en,295.344,255,6.0,12000000,631272,0.05
693134,Movie,Dune: Part Two,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin",United States of America,2024-02-27,2024,8.148,"Science Fiction, Adventure",en,286.234,6347,8.148,190000000,714444358,3.76
974950,Movie,Emilia Pérez,Jacques Audiard,"Karla Sofía Gascón, Zoe Saldaña, Selena Gomez, Adriana Paz, Edgar Ramírez","Belgium, France, United States of America, Mexico",2024-08-21,2024,6.856,"Drama, Thriller",fr,281.418,1381,6.856,26000000,15366077,0.59
1034541,Movie,Terrifier 3,Damien Leone,"Lauren LaVera, David Howard Thornton, Samantha Scaffidi, Elliott Fullam, Margaret Anne Florence",United States of America,2024-10-09,2024,6.9,"Horror, Thriller",en,276.593,1490,6.9,2000000,89947122,44.97
799766,Movie,Better Man,Michael Gracey,"Robbie Williams, Jonno Davies, Steve Pemberton, Alison Steadman, Kate Mulvany","Australia, United Kingdom, United States of America, China, Cyprus",2024-12-06,2024,7.6,"Music, Drama",en,263.61,254,7.6,110000000,20120006,0.18
1097549,Movie,Babygirl,Halina Reijn,"Nicole Kidman, Harris Dickinson, Antonio Banderas, Esther-Rose McGregor, Sophie Wilde","United States of America, Netherlands",2024-12-25,2024,5.793,Drama,en,246.179,522,5.793,20000000,60934894,3.05
1000837,Movie,I'm Still Here,Walter Salles,"Fernanda Torres, Selton Mello, Valentina Herszage, Bárbara Luz, Guilherme Silveira","Brazil, France",2024-09-19,2024,7.9,"Drama, History",pt,234.13,392,7.9,1480000,29940623,20.23
1011985,Movie,Kung Fu Panda 4,Mike Mitchell,"Jack Black, Awkwafina, Viola Davis, Dustin Hoffman, Bryan Cranston",United States of America,2024-03-02,2024,7.074,"Animation, Family, Action, Comedy",en,212.888,2989,7.074,80000000,548040835,6.85
823464,Movie,Godzilla x Kong: The New Empire,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns",United States of America,2024-03-27,2024,7.111,"Action, Adventure, Science Fiction",en,197.094,4077,7.111,150000000,571750016,3.81
